SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
1;49;1;2;2;13;1;21;10;1;12;4;1;1;1;1;3;12
1;65;2;2;4;1;80;1;10;5;6;2;1;2;0;0;4;3
2;45;1;4;4;8;38;1;10;9;11;6;1;1;1;1;3;4
1;48;4;2;2;1;8;1;10;4;12;5;1;1;1;2;1;3
2;72;2;3;4;21;54;2;10;10;4;1;1;2;0;0;5;3
1;34;1;2;5;51;54;3;10;6;7;5;1;1;2;6;5;5
1;19;2;4;4;8;8;1;9;1;6;6;2;6;0;0;5;3
1;62;1;2;2;51;8;1;10;4;13;4;1;1;1;1;1;3
2;82;1;2;2;21;16;1;10;5;9;4;3;2;0;0;8;96
2;45;4;4;4;8;8;1;9;1;5;2;5;4;0;0;5;12
2;42;1;2;2;51;22;2;10;5;7;2;1;7;0;0;3;2
2;59;2;2;4;1;8;1;10;3;6;1;2;1;1;3;4;11
2;52;1;3;4;1;54;2;10;7;9;2;1;1;3;3;4;3
2;23;1;5;4;20;20;1;10;2;15;2;2;6;0;0;4;3
2;57;1;5;3;11;1;21;10;1;4;6;5;4;0;0;6;6
1;76;2;2;4;1;51;21;10;2;9;4;1;2;0;0;2;5
2;18;2;2;2;11;6;1;10;3;6;6;2;6;0;0;4;5
1;64;1;3;4;52;8;1;10;4;7;4;4;1;1;8;4;5
1;56;1;4;5;52;8;21;10;3;7;2;1;1;1;3;4;6
2;71;4;3;3;51;12;2;10;9;4;1;3;3;0;0;5;3
1;56;2;2;2;8;35;1;10;1;5;1;1;1;3;8;5;12
1;59;5;4;4;50;8;1;5;5;2;2;1;1;1;3;3;4
2;68;2;2;5;51;51;2;10;7;11;2;1;2;0;0;2;3
1;50;5;1;2;24;35;3;10;8;10;1;5;1;1;2;2;5
2;31;2;2;4;1;6;2;10;5;13;5;2;1;1;2;3;3
2;27;1;1;2;46;76;21;10;2;13;6;2;1;1;2;1;2
1;48;4;4;4;51;51;3;10;9;9;2;1;1;1;3;3;12
1;20;2;2;4;8;48;2;10;7;5;4;2;6;0;0;5;3
2;27;2;2;2;3;81;1;10;3;13;6;1;1;1;2;3;3
2;46;1;4;4;8;8;1;10;5;6;4;1;4;0;0;4;3
1;63;5;2;5;24;24;3;10;10;11;2;5;1;1;2;3;3
1;30;1;1;2;7;7;21;10;2;13;5;2;1;1;2;4;3
1;31;5;4;5;51;8;3;10;10;4;6;2;1;1;7;5;5
1;30;4;2;5;24;35;2;10;7;13;4;2;1;1;1;2;3
1;48;2;2;2;7;6;1;10;3;5;4;2;1;1;4;2;3
1;21;4;2;4;8;48;2;10;7;6;1;2;1;1;9;8;3
1;55;2;2;3;7;7;3;10;10;9;2;1;1;3;2;4;5
1;33;5;2;5;18;97;3;10;5;12;2;2;1;1;3;4;3
2;56;3;2;4;24;35;3;10;9;6;2;5;1;2;5;3;3
1;36;4;2;4;8;51;2;9;6;5;5;2;1;1;3;1;12
1;40;1;2;4;51;51;1;10;1;7;6;1;8;0;0;1;3
1;60;1;4;1;8;8;1;10;4;4;2;1;4;0;0;6;12
2;86;1;2;2;58;29;1;10;1;4;2;4;3;0;0;5;5
2;76;1;2;5;1;80;1;10;4;4;2;1;7;0;0;4;3
1;57;5;4;5;21;8;2;10;99;6;2;1;1;2;1;4;5
2;18;2;2;4;8;22;21;9;5;6;5;2;1;1;5;3;4
2;60;1;2;4;51;6;1;10;3;5;2;1;1;1;3;4;96
1;28;3;2;2;20;20;1;9;4;13;5;2;5;0;0;4;3
1;63;1;2;4;8;8;1;10;1;4;2;2;2;0;0;4;3
2;67;5;3;4;24;29;3;10;7;9;2;1;2;0;0;2;4
1;42;4;2;5;8;70;3;10;5;11;2;1;1;1;3;5;3
1;42;1;2;4;20;9;1;10;3;9;2;1;1;1;3;2;3
1;35;1;4;4;46;1;2;10;7;13;1;2;5;0;0;6;3
1;49;2;2;2;55;54;21;10;2;9;5;1;1;3;3;4;5
2;57;2;5;4;51;29;1;10;1;3;1;4;1;1;4;6;12
1;65;5;2;5;24;26;3;10;10;14;1;5;1;1;2;1;3
2;56;1;2;2;70;25;2;10;6;8;6;3;1;1;7;4;4
2;56;1;2;2;80;34;1;10;1;7;2;3;1;1;3;4;3
1;50;1;2;3;80;8;1;10;3;7;6;2;1;1;3;4;3
1;72;5;2;2;50;51;3;10;7;11;1;1;2;0;0;9;3
1;67;4;2;4;13;9;2;10;6;3;1;1;2;0;0;4;11
2;31;4;2;4;8;97;2;10;8;13;1;1;1;1;1;1;2
2;53;1;2;5;24;8;2;10;10;5;2;1;2;0;0;2;12
2;89;2;3;2;6;47;1;10;1;4;2;3;2;0;0;6;12
1;25;2;2;5;16;25;2;10;10;7;6;2;1;3;7;3;98
